Step 147/2000, Loss: 0.17240822315216064
Step 148/2000, Loss: 0.17647577822208405
Step 149/2000, Loss: 0.16720980405807495
Step 150/2000, Loss: 0.17604121565818787
Step 151/2000, Loss: 0.17924809455871582
Step 152/2000, Loss: 0.15646004676818848
Step 153/2000, Loss: 0.1677669882774353
Step 154/2000, Loss: 0.16617266833782196
Step 155/2000, Loss: 0.16308508813381195
Step 156/2000, Loss: 0.16311298310756683
Step 157/2000, Loss: 0.17058023810386658
Step 158/2000, Loss: 0.16620399057865143
Step 159/2000, Loss: 0.1647365838289261
Step 160/2000, Loss: 0.16025958955287933
Step 161/2000, Loss: 0.16935686767101288
Step 162/2000, Loss: 0.1598617136478424
Step 163/2000, Loss: 0.16962407529354095
Step 164/2000, Loss: 0.15964268147945404
Step 165/2000, Loss: 0.16898363828659058
Step 166/2000, Loss: 0.15348273515701294
Step 167/2000, Loss: 0.1643396019935608
Step 168/2000, Loss: 0.16202709078788757
Step 169/2000, Loss: 0.1630333513021469
Step 170/2000, Loss: 0.16418974101543427
Step 171/2000, Loss: 0.1585140973329544
Step 172/2000, Loss: 0.1653117686510086
Step 173/2000, Loss: 0.15125158429145813
Step 174/2000, Loss: 0.15946809947490692
Step 175/2000, Loss: 0.15270867943763733
Step 176/2000, Loss: 0.16040483117103577
Step 177/2000, Loss: 0.15428613126277924
Step 178/2000, Loss: 0.15845386683940887
Step 179/2000, Loss: 0.1586408168077469
Step 180/2000, Loss: 0.1567520946264267
Step 181/2000, Loss: 0.16586217284202576
Step 182/2000, Loss: 0.1597195267677307
Step 183/2000, Loss: 0.1587691605091095
Step 184/2000, Loss: 0.14935363829135895
Step 185/2000, Loss: 0.14799851179122925
Step 186/2000, Loss: 0.1453419029712677
Step 187/2000, Loss: 0.1626196652650833
Step 188/2000, Loss: 0.14178785681724548
Step 189/2000, Loss: 0.1509501039981842
Step 190/2000, Loss: 0.14539353549480438
Step 191/2000, Loss: 0.1597108244895935
Step 192/2000, Loss: 0.14988215267658234
Step 193/2000, Loss: 0.14330223202705383
Step 194/2000, Loss: 0.15001370012760162
Step 195/2000, Loss: 0.14641976356506348
Step 196/2000, Loss: 0.14986935257911682
Step 197/2000, Loss: 0.1519336998462677
Step 198/2000, Loss: 0.15448051691055298
Step 199/2000, Loss: 0.14217638969421387
Step 200/2000, Loss: 0.14560666680335999
Step 201/2000, Loss: 0.14881931245326996
Step 202/2000, Loss: 0.1542709916830063
