Step 132/2000, Loss: 0.18434910476207733
Step 133/2000, Loss: 0.18098993599414825
Step 134/2000, Loss: 0.1751469373703003
Step 135/2000, Loss: 0.18094374239444733
Step 136/2000, Loss: 0.18389815092086792
Step 137/2000, Loss: 0.18929675221443176
Step 138/2000, Loss: 0.17330361902713776
Step 139/2000, Loss: 0.17659683525562286
Step 140/2000, Loss: 0.1822316199541092
Step 141/2000, Loss: 0.1817319095134735
Step 142/2000, Loss: 0.1796226054430008
Step 143/2000, Loss: 0.17902131378650665
Step 144/2000, Loss: 0.1751883625984192
Step 145/2000, Loss: 0.1703691929578781
Step 146/2000, Loss: 0.18150685727596283
Step 147/2000, Loss: 0.17041435837745667
Step 148/2000, Loss: 0.17410042881965637
Step 149/2000, Loss: 0.16538892686367035
Step 150/2000, Loss: 0.17388249933719635
Step 151/2000, Loss: 0.1768953502178192
Step 152/2000, Loss: 0.1545582264661789
Step 153/2000, Loss: 0.16541248559951782
Step 154/2000, Loss: 0.16386479139328003
Step 155/2000, Loss: 0.16125190258026123
Step 156/2000, Loss: 0.16135649383068085
Step 157/2000, Loss: 0.16817623376846313
Step 158/2000, Loss: 0.16369296610355377
Step 159/2000, Loss: 0.16290828585624695
Step 160/2000, Loss: 0.15862374007701874
Step 161/2000, Loss: 0.16752059757709503
Step 162/2000, Loss: 0.1576841175556183
Step 163/2000, Loss: 0.16753609478473663
Step 164/2000, Loss: 0.15758560597896576
Step 165/2000, Loss: 0.1669733077287674
Step 166/2000, Loss: 0.15168246626853943
Step 167/2000, Loss: 0.1620725840330124
Step 168/2000, Loss: 0.16013488173484802
Step 169/2000, Loss: 0.1613016426563263
Step 170/2000, Loss: 0.1622190773487091
Step 171/2000, Loss: 0.15666463971138
Step 172/2000, Loss: 0.163123220205307
Step 173/2000, Loss: 0.14932680130004883
Step 174/2000, Loss: 0.15756548941135406
Step 175/2000, Loss: 0.15069754421710968
Step 176/2000, Loss: 0.15865842998027802
Step 177/2000, Loss: 0.15233351290225983
Step 178/2000, Loss: 0.15667873620986938
Step 179/2000, Loss: 0.15672166645526886
Step 180/2000, Loss: 0.1546964794397354
Step 181/2000, Loss: 0.1636236011981964
Step 182/2000, Loss: 0.1577637940645218
Step 183/2000, Loss: 0.15635709464550018
Step 184/2000, Loss: 0.14699991047382355
Step 185/2000, Loss: 0.14573082327842712
Step 186/2000, Loss: 0.1437150239944458
Step 187/2000, Loss: 0.16080234944820404
Step 188/2000, Loss: 0.13974416255950928
Step 189/2000, Loss: 0.14926324784755707
Step 190/2000, Loss: 0.1434883326292038
Step 191/2000, Loss: 0.1580803096294403
Step 192/2000, Loss: 0.1480739414691925
Step 193/2000, Loss: 0.14178571105003357
Step 194/2000, Loss: 0.14797377586364746
Step 195/2000, Loss: 0.14483045041561127
Step 196/2000, Loss: 0.14826230704784393
Step 197/2000, Loss: 0.150103360414505
Step 198/2000, Loss: 0.15303757786750793
Step 199/2000, Loss: 0.14056982100009918
Step 200/2000, Loss: 0.14396542310714722
Step 201/2000, Loss: 0.14667028188705444
Step 202/2000, Loss: 0.1526218205690384
Step 203/2000, Loss: 0.1461848020553589
Step 204/2000, Loss: 0.14314241707324982
Step 205/2000, Loss: 0.14989213645458221
